case_id,sku,sku_name,category,supplier,supplier_name,platform,language,region,amount,date,similarity,same_item,defect_tags,defect_description,consistency,outcome,mode
RG-000015,AMZ-P20952,Electronics · P20952,3C数码,S7,锐捷制造,Amazon,en,US,96.17,2026-02-15,0.904,True,无明显瑕疵,Duplicate order,一致（疑似非质量原因，倾向买家责任）,赢,dataset
RG-000016,AMZ-P20935,Clothing · P20935,服饰鞋包,S7,锐捷制造,Amazon,en,US,184.0,2026-05-28,0.893,True,无明显瑕疵,Duplicate order,一致（疑似非质量原因，倾向买家责任）,赢,dataset
RG-000017,AMZ-P22429,Clothing · P22429,服饰鞋包,S7,锐捷制造,Amazon,en,US,447.38,2025-03-13,0.913,True,无明显瑕疵,Changed mind,一致（疑似非质量原因，倾向买家责任）,赢,dataset
RG-000018,AMZ-P21273,Electronics · P21273,3C数码,S3,鑫源电子(劣),Amazon,en,US,155.75,2025-08-21,0.877,True,外包装破损,Damaged,存在差异（货不对板 / 运输或质量瑕疵）,部分退款,dataset
RG-000019,AMZ-P20384,Electronics · P20384,3C数码,S7,锐捷制造,Amazon,en,US,120.19,2026-02-03,0.909,True,无明显瑕疵,Late delivery,一致（疑似非质量原因，倾向买家责任）,赢,dataset
RG-000020,AMZ-P22485,Electronics · P22485,3C数码,S6,海贸乱发(劣),Amazon,en,US,49.03,2026-08-11,0.61,False,货不对板,Wrong item,存在差异（货不对板 / 运输或质量瑕疵）,赢,dataset
RG-000021,AMZ-P21144,Home · P21144,小家电,S7,锐捷制造,Amazon,en,US,170.59,2025-03-18,0.922,True,无明显瑕疵,Duplicate order,一致（疑似非质量原因，倾向买家责任）,赢,dataset
RG-000022,AMZ-P22373,Books · P22373,饰品配件,S7,锐捷制造,Amazon,en,US,1427.24,2025-07-22,0.918,True,无明显瑕疵,Changed mind,一致（疑似非质量原因，倾向买家责任）,部分退款,dataset
RG-000023,AMZ-P22670,Home · P22670,小家电,S6,海贸乱发(劣),Amazon,en,US,139.52,2026-07-04,0.658,False,货不对板,Not as described,存在差异（货不对板 / 运输或质量瑕疵）,输,dataset
RG-000024,AMZ-P20394,Home · P20394,小家电,S7,锐捷制造,Amazon,en,US,66.5,2025-04-25,0.894,True,无明显瑕疵,Duplicate order,一致（疑似非质量原因，倾向买家责任）,赢,dataset
RG-000025,AMZ-P23449,Electronics · P23449,3C数码,S7,锐捷制造,Amazon,en,US,33.32,2026-03-11,0.927,True,无明显瑕疵,Duplicate order,一致（疑似非质量原因，倾向买家责任）,部分退款,dataset
RG-000026,AMZ-P23560,Books · P23560,饰品配件,S6,海贸乱发(劣),Amazon,en,US,88.29,2025-04-03,0.83,True,货不对板,Size/fit issue,存在差异（货不对板 / 运输或质量瑕疵）,输,dataset
RG-000027,AMZ-P21160,Toys · P21160,饰品配件,S6,海贸乱发(劣),Amazon,en,US,472.14,2026-04-05,0.613,False,货不对板,Not as described,存在差异（货不对板 / 运输或质量瑕疵）,输,dataset
RG-000028,AMZ-P20198,Books · P20198,饰品配件,S3,鑫源电子(劣),Amazon,en,US,41.83,2025-11-14,0.893,True,功能故障,Quality issue,存在差异（货不对板 / 运输或质量瑕疵）,输,dataset
RG-000029,AMZ-P21890,Home · P21890,小家电,S3,鑫源电子(劣),Amazon,en,US,287.18,2025-10-21,0.856,True,功能故障,Quality issue,存在差异（货不对板 / 运输或质量瑕疵）,输,dataset
RG-000030,AMZ-P22369,Home · P22369,小家电,S6,海贸乱发(劣),Amazon,en,US,50.68,2026-03-05,0.869,True,商品缺件,Missing parts,存在差异（货不对板 / 运输或质量瑕疵）,输,dataset
RG-000031,AMZ-P20360,Electronics · P20360,3C数码,S3,鑫源电子(劣),Amazon,en,US,323.68,2026-06-04,0.888,True,功能故障,Quality issue,存在差异（货不对板 / 运输或质量瑕疵）,输,dataset
RG-000032,AMZ-P21034,Books · P21034,饰品配件,S6,海贸乱发(劣),Amazon,en,US,80.29,2025-04-12,0.65,False,货不对板,Not as described,存在差异（货不对板 / 运输或质量瑕疵）,部分退款,dataset
RG-000033,AMZ-P23807,Electronics · P23807,3C数码,S7,锐捷制造,Amazon,en,US,637.33,2025-06-14,0.878,True,无明显瑕疵,Late delivery,一致（疑似非质量原因，倾向买家责任）,赢,dataset
RG-000034,AMZ-P21393,Clothing · P21393,服饰鞋包,S7,锐捷制造,Amazon,en,US,481.6,2025-05-08,0.894,True,无明显瑕疵,Duplicate order,一致（疑似非质量原因，倾向买家责任）,赢,dataset
RG-000035,AMZ-P22126,Home · P22126,小家电,S6,海贸乱发(劣),Amazon,en,US,184.89,2026-06-02,0.614,False,货不对板,Wrong item,存在差异（货不对板 / 运输或质量瑕疵）,赢,dataset
RG-000036,AMZ-P22677,Electronics · P22677,3C数码,S3,鑫源电子(劣),Amazon,en,US,339.51,2025-07-07,0.873,True,功能故障,Quality issue,存在差异（货不对板 / 运输或质量瑕疵）,输,dataset
RG-000037,AMZ-P20841,Electronics · P20841,3C数码,S7,锐捷制造,Amazon,en,US,63.0,2025-09-19,0.912,True,无明显瑕疵,Late delivery,一致（疑似非质量原因，倾向买家责任）,赢,dataset
RG-000038,AMZ-P21758,Toys · P21758,饰品配件,S6,海贸乱发(劣),Amazon,en,US,24.16,2026-01-19,0.892,True,商品缺件,Missing parts,存在差异（货不对板 / 运输或质量瑕疵）,输,dataset
RG-000039,AMZ-P20719,Toys · P20719,饰品配件,S6,海贸乱发(劣),Amazon,en,US,752.87,2026-05-31,0.655,False,货不对板,Wrong item,存在差异（货不对板 / 运输或质量瑕疵）,赢,dataset
RG-000040,AMZ-P21549,Home · P21549,小家电,S7,锐捷制造,Amazon,en,US,78.41,2026-04-19,0.911,True,无明显瑕疵,Late delivery,一致（疑似非质量原因，倾向买家责任）,输,dataset
RG-000041,AMZ-P23335,Electronics · P23335,3C数码,S3,鑫源电子(劣),Amazon,en,US,14.57,2025-02-14,0.872,True,外包装破损,Damaged,存在差异（货不对板 / 运输或质量瑕疵）,输,dataset
RG-000042,AMZ-P22438,Clothing · P22438,服饰鞋包,S7,锐捷制造,Amazon,en,US,298.36,2025-07-22,0.947,True,无明显瑕疵,Late delivery,一致（疑似非质量原因，倾向买家责任）,赢,dataset
RG-000043,AMZ-P21966,Home · P21966,小家电,S7,锐捷制造,Amazon,en,US,200.53,2025-11-28,0.902,True,无明显瑕疵,Changed mind,一致（疑似非质量原因，倾向买家责任）,赢,dataset
RG-000044,AMZ-P22031,Sports · P22031,服饰鞋包,S6,海贸乱发(劣),Amazon,en,US,51.76,2025-02-08,0.868,True,商品缺件,Missing parts,存在差异（货不对板 / 运输或质量瑕疵）,部分退款,dataset
RG-000045,AMZ-P22809,Home · P22809,小家电,S3,鑫源电子(劣),Amazon,en,US,65.44,2026-04-28,0.898,True,外包装破损,Damaged,存在差异（货不对板 / 运输或质量瑕疵）,输,dataset
RG-000046,AMZ-P23720,Toys · P23720,饰品配件,S7,锐捷制造,Amazon,en,US,32.85,2025-02-28,0.917,True,无明显瑕疵,Duplicate order,一致（疑似非质量原因，倾向买家责任）,赢,dataset
RG-000047,AMZ-P22401,Books · P22401,饰品配件,S7,锐捷制造,Amazon,en,US,413.39,2025-01-21,0.869,True,无明显瑕疵,Changed mind,一致（疑似非质量原因，倾向买家责任）,赢,dataset
RG-000048,AMZ-P21593,Electronics · P21593,3C数码,S6,海贸乱发(劣),Amazon,en,US,16.33,2025-01-09,0.926,True,商品缺件,Missing parts,存在差异（货不对板 / 运输或质量瑕疵）,部分退款,dataset
RG-000049,AMZ-P20545,Electronics · P20545,3C数码,S6,海贸乱发(劣),Amazon,en,US,39.73,2025-07-06,0.872,True,货不对板,Size/fit issue,存在差异（货不对板 / 运输或质量瑕疵）,输,dataset
RG-000050,AMZ-P20891,Books · P20891,饰品配件,S6,海贸乱发(劣),Amazon,en,US,535.19,2025-03-27,0.631,False,货不对板,Not as described,存在差异（货不对板 / 运输或质量瑕疵）,赢,dataset
RG-000051,AMZ-P23855,Electronics · P23855,3C数码,S6,海贸乱发(劣),Amazon,en,US,1161.72,2025-09-01,0.658,False,货不对板,Wrong item,存在差异（货不对板 / 运输或质量瑕疵）,输,dataset
RG-000052,AMZ-P22340,Clothing · P22340,服饰鞋包,S6,海贸乱发(劣),Amazon,en,US,36.65,2025-04-13,0.857,True,货不对板,Size/fit issue,存在差异（货不对板 / 运输或质量瑕疵）,部分退款,dataset
RG-000053,AMZ-P20535,Clothing · P20535,服饰鞋包,S6,海贸乱发(劣),Amazon,en,US,109.36,2025-11-18,0.649,False,货不对板,Not as described,存在差异（货不对板 / 运输或质量瑕疵）,输,dataset
RG-000054,AMZ-P20308,Home · P20308,小家电,S6,海贸乱发(劣),Amazon,en,US,228.08,2025-12-09,0.902,True,商品缺件,Missing parts,存在差异（货不对板 / 运输或质量瑕疵）,赢,dataset
RG-000055,AMZ-P21821,Clothing · P21821,服饰鞋包,S6,海贸乱发(劣),Amazon,en,US,136.99,2025-06-18,0.603,False,货不对板,Wrong item,存在差异（货不对板 / 运输或质量瑕疵）,部分退款,dataset
RG-000056,AMZ-P23219,Home · P23219,小家电,S3,鑫源电子(劣),Amazon,en,US,88.69,2025-02-27,0.863,True,功能故障,Quality issue,存在差异（货不对板 / 运输或质量瑕疵）,输,dataset
RG-000057,AMZ-P23413,Home · P23413,小家电,S6,海贸乱发(劣),Amazon,en,US,215.64,2026-03-25,0.885,True,商品缺件,Missing parts,存在差异（货不对板 / 运输或质量瑕疵）,输,dataset
RG-000058,AMZ-P23754,Clothing · P23754,服饰鞋包,S7,锐捷制造,Amazon,en,US,305.33,2025-05-30,0.904,True,无明显瑕疵,Duplicate order,一致（疑似非质量原因，倾向买家责任）,输,dataset
RG-000059,AMZ-P23889,Home · P23889,小家电,S6,海贸乱发(劣),Amazon,en,US,88.32,2026-03-13,0.636,False,货不对板,Wrong item,存在差异（货不对板 / 运输或质量瑕疵）,输,dataset
RG-000060,AMZ-P20015,Beauty · P20015,饰品配件,S3,鑫源电子(劣),Amazon,en,US,442.95,2025-09-10,0.838,True,外包装破损,Damaged,存在差异（货不对板 / 运输或质量瑕疵）,输,dataset
RG-000061,AMZ-P21889,Books · P21889,饰品配件,S6,海贸乱发(劣),Amazon,en,US,138.23,2025-02-08,0.834,True,货不对板,Size/fit issue,存在差异（货不对板 / 运输或质量瑕疵）,输,dataset
RG-000062,AMZ-P23150,Home · P23150,小家电,S3,鑫源电子(劣),Amazon,en,US,71.18,2026-04-25,0.897,True,功能故障,Quality issue,存在差异（货不对板 / 运输或质量瑕疵）,部分退款,dataset
RG-000063,AMZ-P21648,Beauty · P21648,饰品配件,S6,海贸乱发(劣),Amazon,en,US,124.29,2025-02-11,0.666,False,货不对板,Wrong item,存在差异（货不对板 / 运输或质量瑕疵）,输,dataset
RG-000064,AMZ-P20657,Home · P20657,小家电,S6,海贸乱发(劣),Amazon,en,US,55.41,2026-01-14,0.847,True,商品缺件,Missing parts,存在差异（货不对板 / 运输或质量瑕疵）,输,dataset
RG-000065,AMZ-P20168,Sports · P20168,服饰鞋包,S3,鑫源电子(劣),Amazon,en,US,217.61,2026-01-30,0.853,True,功能故障,Quality issue,存在差异（货不对板 / 运输或质量瑕疵）,输,dataset
RG-000066,AMZ-P22338,Home · P22338,小家电,S6,海贸乱发(劣),Amazon,en,US,178.78,2025-07-24,0.874,True,货不对板,Size/fit issue,存在差异（货不对板 / 运输或质量瑕疵）,部分退款,dataset
RG-000067,AMZ-P20016,Home · P20016,小家电,S6,海贸乱发(劣),Amazon,en,US,38.1,2026-01-08,0.875,True,商品缺件,Missing parts,存在差异（货不对板 / 运输或质量瑕疵）,输,dataset
RG-000068,AMZ-P21501,Clothing · P21501,服饰鞋包,S6,海贸乱发(劣),Amazon,en,US,64.72,2025-08-09,0.672,False,货不对板,Not as described,存在差异（货不对板 / 运输或质量瑕疵）,输,dataset
RG-000069,AMZ-P21769,Clothing · P21769,服饰鞋包,S7,锐捷制造,Amazon,en,US,102.81,2026-05-25,0.922,True,无明显瑕疵,Changed mind,一致（疑似非质量原因，倾向买家责任）,赢,dataset
RG-000070,AMZ-P21903,Toys · P21903,饰品配件,S6,海贸乱发(劣),Amazon,en,US,298.26,2026-08-05,0.643,False,货不对板,Wrong item,存在差异（货不对板 / 运输或质量瑕疵）,赢,dataset
RG-000071,AMZ-P20877,Toys · P20877,饰品配件,S7,锐捷制造,Amazon,en,US,51.23,2026-05-27,0.898,True,无明显瑕疵,Late delivery,一致（疑似非质量原因，倾向买家责任）,赢,dataset
RG-000072,AMZ-P23540,Electronics · P23540,3C数码,S7,锐捷制造,Amazon,en,US,97.32,2025-07-21,0.894,True,无明显瑕疵,Duplicate order,一致（疑似非质量原因，倾向买家责任）,部分退款,dataset
RG-000073,AMZ-P22215,Clothing · P22215,服饰鞋包,S7,锐捷制造,Amazon,en,US,36.41,2025-05-07,0.92,True,无明显瑕疵,Changed mind,一致（疑似非质量原因，倾向买家责任）,赢,dataset
RG-000074,AMZ-P20719,Home · P20719,小家电,S6,海贸乱发(劣),Amazon,en,US,89.5,2025-09-16,0.865,True,货不对板,Size/fit issue,存在差异（货不对板 / 运输或质量瑕疵）,赢,dataset
RG-000075,AMZ-P23254,Electronics · P23254,3C数码,S3,鑫源电子(劣),Amazon,en,US,798.92,2026-06-26,0.874,True,外包装破损,Damaged,存在差异（货不对板 / 运输或质量瑕疵）,输,dataset
RG-000076,AMZ-P23028,Clothing · P23028,服饰鞋包,S7,锐捷制造,Amazon,en,US,18.56,2025-03-09,0.898,True,无明显瑕疵,Changed mind,一致（疑似非质量原因，倾向买家责任）,赢,dataset
RG-000077,AMZ-P22910,Clothing · P22910,服饰鞋包,S7,锐捷制造,Amazon,en,US,120.37,2026-06-22,0.911,True,无明显瑕疵,Duplicate order,一致（疑似非质量原因，倾向买家责任）,部分退款,dataset
RG-000078,AMZ-P23228,Clothing · P23228,服饰鞋包,S6,海贸乱发(劣),Amazon,en,US,157.48,2026-06-15,0.881,True,商品缺件,Missing parts,存在差异（货不对板 / 运输或质量瑕疵）,输,dataset
RG-000079,AMZ-P21452,Beauty · P21452,饰品配件,S6,海贸乱发(劣),Amazon,en,US,89.33,2025-10-10,0.658,False,货不对板,Not as described,存在差异（货不对板 / 运输或质量瑕疵）,赢,dataset
RG-000080,AMZ-P22653,Electronics · P22653,3C数码,S7,锐捷制造,Amazon,en,US,53.85,2026-04-16,0.916,True,无明显瑕疵,Late delivery,一致（疑似非质量原因，倾向买家责任）,部分退款,dataset
RG-000081,AMZ-P22757,Electronics · P22757,3C数码,S6,海贸乱发(劣),Amazon,en,US,156.86,2024-12-31,0.893,True,商品缺件,Missing parts,存在差异（货不对板 / 运输或质量瑕疵）,赢,dataset
RG-000082,AMZ-P20530,Electronics · P20530,3C数码,S6,海贸乱发(劣),Amazon,en,US,574.5,2025-07-07,0.869,True,货不对板,Size/fit issue,存在差异（货不对板 / 运输或质量瑕疵）,输,dataset
RG-000083,AMZ-P21813,Home · P21813,小家电,S7,锐捷制造,Amazon,en,US,145.31,2025-10-13,0.929,True,无明显瑕疵,Duplicate order,一致（疑似非质量原因，倾向买家责任）,部分退款,dataset
RG-000084,AMZ-P23305,Toys · P23305,饰品配件,S3,鑫源电子(劣),Amazon,en,US,462.54,2025-08-22,0.854,True,功能故障,Quality issue,存在差异（货不对板 / 运输或质量瑕疵）,输,dataset
RG-000085,AMZ-P20817,Home · P20817,小家电,S7,锐捷制造,Amazon,en,US,15.56,2025-11-24,0.902,True,无明显瑕疵,Duplicate order,一致（疑似非质量原因，倾向买家责任）,部分退款,dataset
RG-000086,AMZ-P21678,Home · P21678,小家电,S6,海贸乱发(劣),Amazon,en,US,541.9,2026-04-18,0.636,False,货不对板,Not as described,存在差异（货不对板 / 运输或质量瑕疵）,输,dataset
RG-000087,AMZ-P20366,Beauty · P20366,饰品配件,S7,锐捷制造,Amazon,en,US,810.82,2025-06-01,0.893,True,无明显瑕疵,Changed mind,一致（疑似非质量原因，倾向买家责任）,输,dataset
RG-000088,AMZ-P21118,Electronics · P21118,3C数码,S6,海贸乱发(劣),Amazon,en,US,87.16,2026-01-21,0.668,False,货不对板,Not as described,存在差异（货不对板 / 运输或质量瑕疵）,输,dataset
RG-000089,AMZ-P23410,Electronics · P23410,3C数码,S3,鑫源电子(劣),Amazon,en,US,27.4,2025-08-05,0.865,True,功能故障,Quality issue,存在差异（货不对板 / 运输或质量瑕疵）,输,dataset
RG-000090,AMZ-P23489,Sports · P23489,服饰鞋包,S6,海贸乱发(劣),Amazon,en,US,51.05,2025-06-30,0.599,False,货不对板,Wrong item,存在差异（货不对板 / 运输或质量瑕疵）,输,dataset
RG-000091,AMZ-P23681,Home · P23681,小家电,S6,海贸乱发(劣),Amazon,en,US,36.63,2025-09-25,0.853,True,商品缺件,Missing parts,存在差异（货不对板 / 运输或质量瑕疵）,输,dataset
RG-000092,AMZ-P21627,Home · P21627,小家电,S6,海贸乱发(劣),Amazon,en,US,805.42,2026-01-18,0.895,True,商品缺件,Missing parts,存在差异（货不对板 / 运输或质量瑕疵）,部分退款,dataset
RG-000093,AMZ-P20864,Home · P20864,小家电,S3,鑫源电子(劣),Amazon,en,US,30.93,2025-08-10,0.853,True,功能故障,Quality issue,存在差异（货不对板 / 运输或质量瑕疵）,输,dataset
RG-000094,AMZ-P20233,Clothing · P20233,服饰鞋包,S7,锐捷制造,Amazon,en,US,160.08,2025-05-16,0.894,True,无明显瑕疵,Duplicate order,一致（疑似非质量原因，倾向买家责任）,赢,dataset
RG-000095,AMZ-P21744,Clothing · P21744,服饰鞋包,S7,锐捷制造,Amazon,en,US,95.84,2026-04-01,0.925,True,无明显瑕疵,Changed mind,一致（疑似非质量原因，倾向买家责任）,赢,dataset
RG-000096,AMZ-P21930,Books · P21930,饰品配件,S6,海贸乱发(劣),Amazon,en,US,28.94,2026-07-09,0.887,True,商品缺件,Missing parts,存在差异（货不对板 / 运输或质量瑕疵）,输,dataset
RG-000097,AMZ-P23621,Clothing · P23621,服饰鞋包,S3,鑫源电子(劣),Amazon,en,US,304.17,2026-02-08,0.869,True,功能故障,Quality issue,存在差异（货不对板 / 运输或质量瑕疵）,输,dataset
RG-000098,AMZ-P20463,Home · P20463,小家电,S7,锐捷制造,Amazon,en,US,221.83,2025-10-05,0.903,True,无明显瑕疵,Duplicate order,一致（疑似非质量原因，倾向买家责任）,赢,dataset
RG-000099,AMZ-P21409,Toys · P21409,饰品配件,S7,锐捷制造,Amazon,en,US,91.34,2025-07-24,0.887,True,无明显瑕疵,Duplicate order,一致（疑似非质量原因，倾向买家责任）,赢,dataset
RG-000100,AMZ-P21701,Clothing · P21701,服饰鞋包,S6,海贸乱发(劣),Amazon,en,US,46.55,2026-03-28,0.886,True,商品缺件,Missing parts,存在差异（货不对板 / 运输或质量瑕疵）,输,dataset
RG-000101,AMZ-P21069,Books · P21069,饰品配件,S7,锐捷制造,Amazon,en,US,70.39,2025-02-19,0.902,True,无明显瑕疵,Changed mind,一致（疑似非质量原因，倾向买家责任）,赢,dataset
RG-000102,AMZ-P20051,Clothing · P20051,服饰鞋包,S6,海贸乱发(劣),Amazon,en,US,234.47,2025-03-09,0.914,True,商品缺件,Missing parts,存在差异（货不对板 / 运输或质量瑕疵）,输,dataset
RG-000103,AMZ-P22083,Toys · P22083,饰品配件,S3,鑫源电子(劣),Amazon,en,US,65.5,2025-03-24,0.882,True,功能故障,Quality issue,存在差异（货不对板 / 运输或质量瑕疵）,输,dataset
RG-000104,AMZ-P22883,Electronics · P22883,3C数码,S6,海贸乱发(劣),Amazon,en,US,33.21,2026-01-02,0.651,False,货不对板,Wrong item,存在差异（货不对板 / 运输或质量瑕疵）,输,dataset
RG-000105,AMZ-P20947,Home · P20947,小家电,S6,海贸乱发(劣),Amazon,en,US,59.89,2025-06-20,0.65,False,货不对板,Not as described,存在差异（货不对板 / 运输或质量瑕疵）,部分退款,dataset
RG-000106,AMZ-P22938,Beauty · P22938,饰品配件,S6,海贸乱发(劣),Amazon,en,US,117.61,2026-03-10,0.635,False,货不对板,Not as described,存在差异（货不对板 / 运输或质量瑕疵）,输,dataset
RG-000107,AMZ-P23052,Clothing · P23052,服饰鞋包,S6,海贸乱发(劣),Amazon,en,US,33.0,2026-06-25,0.935,True,商品缺件,Missing parts,存在差异（货不对板 / 运输或质量瑕疵）,部分退款,dataset
RG-000108,AMZ-P22750,Electronics · P22750,3C数码,S6,海贸乱发(劣),Amazon,en,US,639.0,2025-06-28,0.662,False,货不对板,Wrong item,存在差异（货不对板 / 运输或质量瑕疵）,赢,dataset
RG-000109,AMZ-P23647,Clothing · P23647,服饰鞋包,S3,鑫源电子(劣),Amazon,en,US,195.27,2026-01-22,0.898,True,功能故障,Quality issue,存在差异（货不对板 / 运输或质量瑕疵）,输,dataset
RG-000110,AMZ-P23507,Beauty · P23507,饰品配件,S7,锐捷制造,Amazon,en,US,119.9,2025-08-18,0.886,True,无明显瑕疵,Duplicate order,一致（疑似非质量原因，倾向买家责任）,输,dataset
RG-000111,AMZ-P22203,Clothing · P22203,服饰鞋包,S3,鑫源电子(劣),Amazon,en,US,41.77,2025-08-13,0.915,True,外包装破损,Damaged,存在差异（货不对板 / 运输或质量瑕疵）,输,dataset
RG-000112,AMZ-P21486,Electronics · P21486,3C数码,S6,海贸乱发(劣),Amazon,en,US,72.14,2026-06-19,0.668,False,货不对板,Wrong item,存在差异（货不对板 / 运输或质量瑕疵）,部分退款,dataset
RG-000113,AMZ-P20732,Home · P20732,小家电,S6,海贸乱发(劣),Amazon,en,US,236.73,2025-11-28,0.835,True,货不对板,Size/fit issue,存在差异（货不对板 / 运输或质量瑕疵）,输,dataset
RG-000114,AMZ-P21099,Sports · P21099,服饰鞋包,S6,海贸乱发(劣),Amazon,en,US,69.53,2025-04-05,0.856,True,商品缺件,Missing parts,存在差异（货不对板 / 运输或质量瑕疵）,输,dataset
RG-000115,AMZ-P23388,Books · P23388,饰品配件,S6,海贸乱发(劣),Amazon,en,US,85.4,2025-03-10,0.81,False,货不对板,Size/fit issue,存在差异（货不对板 / 运输或质量瑕疵）,输,dataset
RG-000116,AMZ-P21802,Toys · P21802,饰品配件,S7,锐捷制造,Amazon,en,US,64.14,2025-07-19,0.89,True,无明显瑕疵,Duplicate order,一致（疑似非质量原因，倾向买家责任）,赢,dataset
RG-000117,AMZ-P22167,Clothing · P22167,服饰鞋包,S7,锐捷制造,Amazon,en,US,42.88,2025-12-07,0.9,True,无明显瑕疵,Late delivery,一致（疑似非质量原因，倾向买家责任）,赢,dataset
RG-000118,AMZ-P22197,Toys · P22197,饰品配件,S7,锐捷制造,Amazon,en,US,74.31,2026-07-21,0.885,True,无明显瑕疵,Changed mind,一致（疑似非质量原因，倾向买家责任）,赢,dataset
RG-000119,AMZ-P23090,Toys · P23090,饰品配件,S6,海贸乱发(劣),Amazon,en,US,102.35,2026-05-30,0.86,True,商品缺件,Missing parts,存在差异（货不对板 / 运输或质量瑕疵）,输,dataset
RG-000120,AMZ-P21722,Books · P21722,饰品配件,S3,鑫源电子(劣),Amazon,en,US,196.82,2025-05-28,0.848,True,外包装破损,Damaged,存在差异（货不对板 / 运输或质量瑕疵）,输,dataset
RG-000121,AMZ-P22211,Beauty · P22211,饰品配件,S7,锐捷制造,Amazon,en,US,290.94,2025-06-13,0.869,True,无明显瑕疵,Late delivery,一致（疑似非质量原因，倾向买家责任）,赢,dataset
RG-000122,AMZ-P21358,Home · P21358,小家电,S6,海贸乱发(劣),Amazon,en,US,55.41,2026-01-01,0.618,False,货不对板,Wrong item,存在差异（货不对板 / 运输或质量瑕疵）,输,dataset
RG-000123,AMZ-P23562,Beauty · P23562,饰品配件,S7,锐捷制造,Amazon,en,US,155.85,2026-06-20,0.911,True,无明显瑕疵,Late delivery,一致（疑似非质量原因，倾向买家责任）,赢,dataset
RG-000124,AMZ-P20243,Clothing · P20243,服饰鞋包,S3,鑫源电子(劣),Amazon,en,US,66.02,2025-08-01,0.861,True,功能故障,Quality issue,存在差异（货不对板 / 运输或质量瑕疵）,输,dataset
RG-000125,AMZ-P22116,Beauty · P22116,饰品配件,S6,海贸乱发(劣),Amazon,en,US,13.11,2026-05-25,0.643,False,货不对板,Not as described,存在差异（货不对板 / 运输或质量瑕疵）,输,dataset
RG-000126,AMZ-P21221,Sports · P21221,服饰鞋包,S6,海贸乱发(劣),Amazon,en,US,41.5,2026-04-01,0.627,False,货不对板,Not as described,存在差异（货不对板 / 运输或质量瑕疵）,输,dataset
